,subject1,verb1,object1,subject2,verb2,object2,score,range
235,patient,need,treatment,teacher,use,method,0.5965909090909091,1.7855844108615218
236,people,play,game,engineer,join,party,0.6730769230769231,2.140025734641417
237,people,play,game,professional,join,party,0.5618729096989966,1.929590671127627
238,people,play,game,engineer,join,party,0.5530936454849499,1.7892962380969741
239,people,play,game,professional,join,party,0.6310096153846153,2.091650066335189
240,people,remember,name,child,pass,time,0.6145484949832776,2.1632942234548684
241,people,remember,name,family,pass,time,0.6057692307692307,1.9110661718118185
242,people,remember,name,child,pass,time,0.5004180602006688,1.7547225944288773
243,people,remember,name,family,pass,time,0.5530936454849499,1.8394018618796073
244,people,share,interest,court,exercise,influence,0.7023411371237458,1.927541184971892
245,people,share,interest,state,exercise,influence,0.693561872909699,2.041080082980171
246,people,share,interest,committee,express,view,0.8352272727272728,2.1223404543873268
247,people,share,interest,participant,express,view,0.790133779264214,1.9980227380237892
248,people,share,interest,court,exercise,influence,0.6883741258741258,2.0156315543200254
249,people,share,interest,state,exercise,influence,0.6899038461538461,2.062431377865891
250,people,share,interest,committee,express,view,0.8245192307692307,1.6396358733271998
251,people,share,interest,participant,express,view,0.8076923076923077,1.9560385876873028
252,physician,pass,time,bridge,cross,line,0.5721153846153846,2.2198054491067585
253,physician,pass,time,route,cross,line,0.5300480769230769,1.995919750935371
254,physician,pass,time,bridge,cross,line,0.5530936454849499,1.7637097087556366
255,physician,pass,time,route,cross,line,0.5096153846153846,2.0400746951777924
256,plan,increase,number,technique,reduce,amount,0.7462374581939799,2.141256695763997
257,plan,increase,number,technology,reduce,amount,0.7319711538461539,2.0602342627456967
258,plan,increase,number,technique,reduce,amount,0.6700174825174825,1.9367710889731522
259,plan,increase,number,technology,reduce,amount,0.6847826086956521,2.0613131391682127
260,product,satisfy,demand,product,meet,requirement,0.8902972027972028,1.943465018222936
261,product,satisfy,demand,system,meet,requirement,0.8535839160839161,1.9744033018277696
262,product,satisfy,demand,report,emphasise,need,0.6983173076923077,1.7687914485336584
263,product,satisfy,demand,statement,emphasise,need,0.7151442307692307,2.0637485241701548
264,product,satisfy,demand,product,meet,requirement,0.8581730769230769,1.6484511834894673
265,product,satisfy,demand,system,meet,requirement,0.9086538461538461,1.9456912102680337
266,product,satisfy,demand,report,emphasise,need,0.7198996655518394,2.2325298930406636
267,product,satisfy,demand,statement,emphasise,need,0.7067307692307692,2.0
268,programme,face,difficulty,government,set,example,0.6233277591973244,2.0206444399174166
269,programme,face,difficulty,man,set,example,0.48798076923076916,1.9763089590064795
270,programme,face,difficulty,government,set,example,0.5782342657342657,1.8846612565519703
271,programme,face,difficulty,man,set,example,0.5618729096989966,1.9295906711276276
272,programme,offer,support,bridge,cross,line,0.5091973244147158,1.9038135226050257
273,programme,offer,support,route,cross,line,0.6241258741258741,1.823369223354207
274,programme,offer,support,course,provide,help,0.8076923076923077,1.7837651700316892
275,programme,offer,support,scheme,provide,help,0.8515886287625418,1.5942088872806426
276,programme,offer,support,bridge,cross,line,0.625,2.142539659020619
277,programme,offer,support,route,cross,line,0.5048076923076923,1.978141420187361
278,programme,offer,support,course,provide,help,0.790133779264214,1.8565129453374498
279,programme,offer,support,scheme,provide,help,0.9178321678321679,1.792239161529848
280,project,present,problem,community,face,difficulty,0.7159090909090908,1.8955404488096772
281,project,present,problem,country,face,difficulty,0.790133779264214,1.97514196217664
282,project,present,problem,community,face,difficulty,0.8168706293706294,1.9875151446508401
283,project,present,problem,country,face,difficulty,0.7618006993006993,1.9255628288353013
284,pupil,achieve,end,chairman,close,eye,0.47408026755852845,1.7737657847891128
285,pupil,achieve,end,employer,close,eye,0.5530936454849499,1.91210001888328
286,pupil,achieve,end,player,reach,level,0.6975524475524475,1.9451349011186303
287,pupil,achieve,end,pupil,reach,level,0.9832775919732442,1.81669900008697
288,pupil,achieve,end,chairman,close,eye,0.5004180602006688,1.7021260827509304
289,pupil,achieve,end,employer,close,eye,0.5300480769230769,1.8371173070873836
290,pupil,achieve,end,player,reach,level,0.7692307692307692,2.2049727349572286
291,pupil,achieve,end,pupil,reach,level,0.8168706293706294,1.863873915807068
292,pupil,use,knowledge,court,exercise,influence,0.7286789297658862,1.7771051648111373
293,pupil,use,knowledge,state,exercise,influence,0.7067307692307692,2.041241452319315
294,pupil,use,knowledge,centre,provide,system,0.7286789297658862,1.9479390142306958
295,pupil,use,knowledge,university,provide,system,0.5794314381270903,1.914166037874813
296,pupil,use,knowledge,child,acquire,skill,0.8627622377622377,2.1421355206299597
297,pupil,use,knowledge,group,acquire,skill,0.8557692307692307,1.868281614338746
298,pupil,use,knowledge,court,exercise,influence,0.7434440559440559,2.0790648913660252
299,pupil,use,knowledge,state,exercise,influence,0.7115384615384615,2.2275333357561142
300,pupil,use,knowledge,centre,provide,system,0.6333041958041957,1.8072724659646
301,pupil,use,knowledge,university,provide,system,0.6145484949832776,1.7445567519772938
302,pupil,use,knowledge,child,acquire,skill,0.93938127090301,1.584260528740428
303,pupil,use,knowledge,group,acquire,skill,0.9270104895104895,1.8685133104535252
304,question,raise,head,book,address,question,0.6791958041958042,1.9650628136199264
305,question,raise,head,project,address,question,0.7151442307692307,1.7687914485336584
306,question,raise,head,book,address,question,0.7198996655518394,2.0851441405707476
307,question,raise,head,project,address,question,0.8076923076923077,1.7320508075688774
308,report,stress,importance,council,cut,cost,0.5874125874125874,1.9495809295501945
309,report,stress,importance,government,cut,cost,0.5706521739130435,1.945908853164026
310,report,stress,importance,incident,cause,injury,0.5618729096989966,1.97614228736722
311,report,stress,importance,storm,cause,injury,0.5794314381270903,2.1596369186864166
312,report,stress,importance,report,emphasise,need,0.9002403846153845,1.7189270330434439
313,report,stress,importance,statement,emphasise,need,0.7813545150501672,2.00690507602869
314,report,stress,importance,council,cut,cost,0.5618729096989966,1.97614228736722
315,report,stress,importance,government,cut,cost,0.5384615384615384,1.9034674690672024
316,report,stress,importance,incident,cause,injury,0.5965909090909091,1.8120567826505283
317,report,stress,importance,storm,cause,injury,0.5267558528428093,1.924462863308348
318,report,stress,importance,report,emphasise,need,0.9086538461538461,1.9781414201873608
319,report,stress,importance,statement,emphasise,need,0.8867056856187291,2.0391426548425735
320,researcher,develop,technique,company,use,power,0.6241258741258741,1.8233692233542071
321,researcher,develop,technique,people,use,power,0.5576923076923077,1.670471846657761
322,researcher,develop,technique,researcher,use,method,0.8918269230769231,1.863065885242286
323,researcher,develop,technique,teacher,use,method,0.748798076923077,1.8052861188782492
324,researcher,develop,technique,company,use,power,0.6672240802675585,1.844766124834248
325,researcher,develop,technique,people,use,power,0.513986013986014,1.7106744068953996
326,researcher,develop,technique,researcher,use,method,0.8691471571906353,1.8199596051634983
327,researcher,develop,technique,teacher,use,method,0.7908653846153846,1.6396358733271996
328,road,cross,line,tour,follow,road,0.8749999999999999,2.008316044185609
329,road,cross,line,trail,follow,road,0.8076923076923077,2.0701966780270626
330,road,cross,line,tour,follow,road,0.8164715719063546,1.6916441939874305
331,road,cross,line,trail,follow,road,0.9170673076923077,1.6934443076725039
332,route,follow,road,government,set,example,0.6149475524475524,2.3599288271606986
333,route,follow,road,man,set,example,0.5267558528428093,1.85224999379827
334,route,follow,road,government,set,example,0.5721153846153846,2.0144406207413397
335,route,follow,road,man,set,example,0.5091973244147158,1.9275411849718922
336,school,encourage,child,student,leave,company,0.5706521739130435,1.8986160967936496
337,school,encourage,child,visitor,leave,company,0.47956730769230765,1.6891598117304405
338,school,encourage,child,student,leave,company,0.5673076923076923,1.8873009198071096
339,school,encourage,child,visitor,leave,company,0.5192307692307693,1.804755622554715
340,service,provide,help,system,satisfy,demand,0.8269230769230769,1.8948551898433268
341,service,provide,help,work,satisfy,demand,0.7989130434782608,1.8944478895773595
342,service,provide,help,engineer,develop,technique,0.6883741258741258,1.9918665787478005
343,service,provide,help,university,develop,technique,0.7319711538461539,1.9067956275430753
344,service,provide,help,system,satisfy,demand,0.8365384615384616,2.1514114968019085
345,service,provide,help,work,satisfy,demand,0.7893356643356644,1.9495809295501945
346,service,provide,help,engineer,develop,technique,0.7111204013377926,1.9509802947933474
347,service,provide,help,university,develop,technique,0.6057692307692307,1.6222142113076254
348,student,acquire,skill,service,use,test,0.6241258741258741,1.9250007027603144
349,student,acquire,skill,study,use,test,0.6333041958041957,1.9831541626662392
350,student,acquire,skill,father,buy,home,0.6057692307692307,2.047065262876636
351,student,acquire,skill,parent,buy,home,0.6057692307692307,2.0216222500108993
352,student,acquire,skill,service,use,test,0.6672240802675585,1.7434235548768993
353,student,acquire,skill,study,use,test,0.6333041958041957,2.0306099141333434
354,student,acquire,skill,father,buy,home,0.5889423076923076,2.1450988964060187
355,student,acquire,skill,parent,buy,home,0.5091973244147158,1.8554481256654884
356,study,pose,problem,community,face,difficulty,0.7550167224080268,1.9590672944112006
357,study,pose,problem,country,face,difficulty,0.8076923076923077,1.8165902124584947
358,study,pose,problem,community,face,difficulty,0.7111204013377926,2.1292244686609876
359,study,pose,problem,country,face,difficulty,0.7023411371237458,1.754722594428877
360,superpower,fight,war,army,win,battle,0.9086538461538461,1.668115312456598
361,superpower,fight,war,state,win,battle,0.7801573426573426,1.698611605188598
362,superpower,fight,war,change,increase,number,0.546875,1.8991798382383418
363,superpower,fight,war,development,increase,number,0.4680944055944056,1.835791347111613
364,superpower,fight,war,club,win,match,0.75,2.101020160371079
365,superpower,fight,war,player,win,match,0.7618006993006993,2.068627752695196
366,superpower,fight,war,army,win,battle,0.8954849498327759,1.6466518911393766
367,superpower,fight,war,state,win,battle,0.9270104895104895,2.062340115802132
368,superpower,fight,war,change,increase,number,0.544314381270903,1.7171536334266988
369,superpower,fight,war,development,increase,number,0.5690559440559441,1.7357957866601168
370,superpower,fight,war,club,win,match,0.6333041958041957,1.4241272864946195
371,superpower,fight,war,player,win,match,0.6584448160535117,1.8639496507135744
372,survey,collect,information,section,provide,datum,0.7403846153846153,2.0144406207413392
373,survey,collect,information,website,provide,datum,0.7403846153846153,1.622754859285078
374,survey,collect,information,section,provide,datum,0.748798076923077,2.01038968030247
375,survey,collect,information,website,provide,datum,0.6814903846153846,1.636871352943461
376,team,win,match,technique,reduce,amount,0.6149475524475524,2.148693351058526
377,team,win,match,technology,reduce,amount,0.4963942307692308,1.9332146390351255
378,team,win,match,child,play,game,0.6899038461538461,1.7672544824662635
379,team,win,match,team,play,game,0.7813545150501672,1.7915038838941726
380,team,win,match,technique,reduce,amount,0.5267558528428093,1.827545060625483
381,team,win,match,technology,reduce,amount,0.44774247491638797,1.5942088872806428
382,team,win,match,child,play,game,0.834030100334448,1.6869646713465998
383,team,win,match,team,play,game,0.8603678929765887,1.629762707333015
384,user,send,message,applicant,receive,letter,0.6923076923076923,1.8322507626258084
385,user,send,message,council,receive,letter,0.6730769230769231,2.057154359296116
386,user,send,message,audience,hear,word,0.6153846153846153,1.9868616075658232
387,user,send,message,listener,hear,word,0.6730769230769231,2.057154359296116
388,user,send,message,applicant,receive,letter,0.8076923076923077,1.8829377433825436
389,user,send,message,council,receive,letter,0.7286789297658862,1.7513405368143935
390,user,send,message,audience,hear,word,0.6584448160535117,1.8639496507135744
